Sea_layer,Sample_id,Regions,Biomes,Depth,NO2NO3,PO4,NO2,O2,Salinity,Temperature,PPE
SRF,gos01,SPO,Trades,5,7.09,1.02,0.17,249.4,36.3,26.5,21.68865435
DCM,gos02,NPO,Westerlies,45,36.98,2.62,0.01,143.2,36.3,13.2,18.53990514
SRF,gos03,SPO,Trades,5,0.02,0.1,0,199.1,36.4,24.9,19.71830986
MES,gos04,NAO,Westerlies,800,30.52,2.91,0.07,1.6,36.3,10.2,4.977876106
SRF,gos05,SO,Polar,5,0.05,0,0,207.6,39.4,1.8,25.71311307
DCM,gos06,SPO,Trades,177,7.09,1.02,0.17,249.4,36.3,13,8.538899431
MES,gos07,SAO,Trades,700,0.06,0,0.03,185,35.2,7,2.313895057
DCM,gos08,SPO,Trades,115,7.09,1.02,0.17,249.4,36.3,24.7,10.26054257
DCM,gos09,NPO,Coastal,30,0.02,0.08,0,207.4,35.3,26.5,25.75
SRF,gos10,SPO,Trades,5,3.23,0.37,0.26,240.4,36.3,24.2,12.6209907
MIX,gos11,SPO,Trades,150,0.05,0,0.02,194.3,36.2,22.1,7.224334601
DCM,gos12,SPO,Trades,155,0.15,0.07,0.07,229.5,36.3,22.3,14.54844498
MES,gos13,NAO,Westerlies,250,5.7,0.78,0.16,216.8,36.3,18.2,4.527128211
MES,gos14,IO,Coastal,850,0.47,0.18,0.03,192.6,36.3,8.4,3.172522286
DCM,gos15,SPO,Trades,90,2.26,0.17,0.32,239.4,36.3,19.9,17.3466304
DCM,gos16,SPO,Trades,40,3.73,0.56,0.19,187.3,36.3,19.6,18.36734694
SRF,gos17,NAO,Westerlies,5,7.55,1.07,0.37,237.2,36.3,18.7,21.24042397
MES,gos18,NAO,Westerlies,740,0,0.08,0,210,35.3,10.6,3.86390836
DCM,gos19,SPO,Coastal,35,18.15,1.3,0.15,305,36.3,16.4,9.271523179
SRF,gos20,NAO,Westerlies,5,1.3,0.46,0.08,227.7,36.3,19.1,25.30973451
SRF,gos21,IO,Coastal,5,0.03,0.01,0,218,38.2,22.2,30.25974026
MES,gos22,NPO,Coastal,380,0.02,0.1,0,199.1,36.4,11.3,2.081746636
DCM,gos23,IO,Coastal,65,0.03,0.01,0,218,38.2,22.3,31.24207858
SRF,gos24,SAO,Coastal,5,0.1,0,0.05,217.1,36.3,15,29.11512845
SRF,gos25,IO,Coastal,5,6.05,0.88,0.31,95.4,36.3,21.8,24.41275168
DCM,gos26,SAO,Coastal,30,2.68,0.5,0.04,208.9,36.3,15,26.30853994
SRF,gos27,NAO,Westerlies,5,0,0.06,0,206.2,37.1,14.1,25.60243511
DCM,gos28,NAO,Westerlies,80,31,2.31,0.06,325.4,36.3,16.8,14.73344103
DCM,gos29,NPO,Trades,40,0.03,0.28,0,219.2,34.7,18.6,10
MIX,gos30,SPO,Trades,120,4.6,0.5,0.11,203.1,36.3,25.2,11.81988743
DCM,gos32,IO,Coastal,30,34.55,2.95,0.01,0.6,36.3,21.8,18.20877817
SRF,gos33,SPO,Trades,5,3.73,0.56,0.19,187.3,36.3,26.5,30.60498221
SRF,gos34,SAO,Coastal,5,0.99,0.36,0.05,215.7,36.3,12.8,23.79409647
DCM,gos35,NPO,Westerlies,115,34.63,2.43,0.02,38.1,36.3,15.3,14.53890057
DCM,gos36,NAO,Westerlies,40,23.9,2.68,0.03,0.7,36.3,17.7,28.43276515
SRF,gos37,NPO,Coastal,5,6.18,0.63,0.16,190.7,36.3,27.6,17.06036745
MES,gos38,SPO,Trades,600,0.64,0.09,0.27,175.4,36.3,7.2,4.67571644
MES,gos39,SAO,Trades,800,0,0.02,0.01,188.4,39.7,4.7,4.288777698
MIX,gos40,NAO,Westerlies,25,0.02,0,0,221.5,36.3,14.3,19.70387244
MES,gos41,NPO,Trades,450,0,0.12,0,191.7,34.6,8.2,2.398331595
SRF,gos43,SAO,Trades,5,2.16,0.16,0.31,243.1,36.3,19.9,25.18639013
SRF,gos45,SAO,Coastal,5,0.03,0.08,0,189.3,34.6,7.3,44.67445743
SRF,gos47,IO,Coastal,5,31,2.31,0.06,325.4,36.3,25.1,19.10528086
DCM,gos48,SPO,Trades,50,0,0.16,0,196.9,33.4,21.8,18.82611637
MES,gos49,NPO,Trades,375,0.06,0.08,0.01,187.3,34.2,8.9,8.936170213
DCM,gos50,SAO,Trades,50,28.5,2.11,0.11,343.4,36.3,16.8,40.83469722
MES,gos52,IO,Coastal,1000,1.39,0.34,0.15,132.8,36.3,7.7,3.588354773
DCM,gos54,SAO,Coastal,40,0,0,0.02,190.1,35.1,7,48.61426624
SRF,gos55,NAO,Coastal,5,0.1,0,0.05,217.1,36.3,27.1,17.91703442
SRF,gos56,NPO,Trades,5,1.08,0.23,0.29,231.7,36.3,26.6,14.54596413
DCM,gos57,SPO,Trades,40,23.43,2.64,0.69,2.4,36.3,26.1,13.04143126
SRF,gos58,SPO,Trades,5,23.43,2.64,0.69,2.4,36.3,26.1,26.25482625
SRF,gos59,SPO,Trades,5,0.03,0.23,0.01,193.4,36.3,23.9,24.99083914
DCM,gos60,SAO,Trades,150,21.11,1.36,0.01,155.2,36.3,21.6,12.18097448
DCM,gos61,SPO,Trades,188,0.05,0.13,0.02,225.5,34.4,20.2,9.270704574
MES,gos62,SAO,Trades,800,0,0.02,0.01,188.4,39.7,4.2,2.472137791
DCM,gos63,SAO,Trades,120,8.2,0.75,0.31,190.8,36.3,19.3,18.1678214
MES,gos64,NAO,Westerlies,640,15.24,1.12,0,193,36.3,11,3.527607362
SRF,gos65,SPO,Trades,5,0.15,0,0.09,212.6,36.3,21.1,12.18335344
SRF,gos66,NPO,Westerlies,5,44.24,3.29,0,8.6,36.3,19.2,21.24842371
MES,gos67,SPO,Trades,480,0.09,0.14,0,187.4,36,9.2,1.931649331
SRF,gos68,IO,Coastal,5,1.21,0.49,0.35,175.9,36.3,27.3,15.40436457
SRF,gos69,IO,Coastal,5,0.02,0,0,221.5,36.3,27,31.74004193
SRF,gos70,SPO,Trades,5,0.05,0.01,0.01,224.3,38.4,25.3,13.70967742
SRF,gos71,SPO,Coastal,5,6.2,0.68,0.14,200.2,36.3,18,12.87128713
SRF,gos72,SPO,Trades,5,36.73,2.52,0.01,161.7,36.3,26.8,26.76691729
MES,gos73,SPO,Trades,488,28.64,1.94,0.02,185.2,36.3,8.1,5.882352941
SRF,gos75,NAO,Westerlies,5,0,0.04,0.02,203.8,36.7,14.3,26.72035139
DCM,gos76,SPO,Trades,50,0.02,0.01,0.02,232.1,36.2,20.6,8.66807611
MES,gos77,SPO,Trades,350,0.02,0.08,0,207.4,35.3,10.9,5.054432348
DCM,gos78,NPO,Trades,60,38.1,2.8,0,1.3,36.3,19,14.51428571
SRF,gos79,SO,Polar,5,0.02,0,0.01,218.1,39.3,0.7,46.51642596
SRF,gos80,SPO,Trades,5,0.9,0.27,0.04,198.6,36.3,25.1,15.75
DCM,gos81,NAO,Coastal,125,0.04,0.14,0.01,194.4,36.6,24.9,17.19083156
MES,gos82,IO,Coastal,1000,3.23,0.37,0.26,240.4,36.3,6.2,4.379396415
SRF,gos84,SAO,Trades,5,25.3,1.72,0.27,338.3,36.3,16.8,46.68630339
DCM,gos85,SAO,Trades,100,19.07,1.42,0.14,306.2,36.3,24.1,8.13266697
SRF,gos86,SAO,Trades,5,3.15,0.56,0.06,160.5,36.3,19.8,31.55844156
SRF,gos87,NAO,Coastal,5,0,0.04,0.02,203.8,36.7,25,19.02192243
SRF,gos88,NPO,Westerlies,5,0.02,0.01,0.03,237.9,37.9,25.2,17.20272904
MIX,gos89,SPO,Trades,140,1.39,0.34,0.15,132.8,36.3,23.7,3.624889932
SRF,gos90,SPO,Trades,5,1.08,0.23,0.29,231.7,36.3,26.6,32.20153341
SRF,gos91,NPO,Coastal,5,22.08,1.53,0,195.2,36.3,26.6,11.27123006
SRF,gos93,NAO,Westerlies,5,31.46,2.15,0.01,199.2,36.3,17.6,27.47005988